12/03/2020, 16:50:40	12/03/2020, 02:56:00	Businesswire Funding	Docebo Announces Pricing of Upsized Initial Public Offering in the United States and Public Offering in Canada	http://www.businesswire.com/news/home/20201202006036/en/Docebo-Announces-Pricing-of-Upsized-Initial-Public-Offering-in-the-United-States-and-Public-Offering-in-Canada/	TORONTO--(BUSINESS WIRE)--Docebo Inc. (“Docebo” or the “Company”) (TSX:DCBO) today announced the pricing of its previously announced marketed public offering of 3,000,000 common shares at a price to the public of US$48.00 per share in the United States and Canada, for aggregate gross proceeds to Docebo of US$144,000,000. The size of the offering has been increased from the previously announced US$125,000,000. The common shares of Docebo are expected to begin trading on The Nasdaq Global Select	(IPOs)	Not Computed	('the United States', 'GPE')('Canada', 'GPE')	-
12/03/2020, 16:50:40	12/03/2020, 13:00:00	Businesswire IPO	Certara Announces Launch of Initial Public Offering	http://www.businesswire.com/news/home/20201203005233/en/Certara-Announces-Launch-of-Initial-Public-Offering/	PRINCETON, N.J.--(BUSINESS WIRE)--Certara today announced the launch of its initial public offering of its common stock pursuant to a registration statement filed with the SEC.	(IPOs)	Not Computed		-
12/03/2020, 16:50:40	12/03/2020, 00:26:00	Businesswire IPO	Highland Transcend Partners I Corp. Announces Pricing of Upsized $275 Million Initial Public Offering	http://www.businesswire.com/news/home/20201202006022/en/Highland-Transcend-Partners-I-Corp.-Announces-Pricing-of-Upsized-275-Million-Initial-Public-Offering/	NEW YORK--(BUSINESS WIRE)--Highland Transcend Partners I Corp. announced today that it priced its upsized initial public offering of 27,500,000 units at $10.00 per unit.	(Possible_Funding /IPOs)	Not Computed	('Highland Transcend Partners I Corp. Announces Pricing of Upsized', 'ORG')('$275 Million', 'MONEY')	-
12/03/2020, 16:50:40	12/02/2020, 19:58:00	Businesswire IPO	Rodgers Silicon Valley Acquisition Corp. Announces Initial Public Offering at $200 Million	http://www.businesswire.com/news/home/20201202005909/en/Rodgers-Silicon-Valley-Acquisition-Corp.-Announces-Initial-Public-Offering-at-200-Million/	WOODSIDE, Calif.--(BUSINESS WIRE)--Rodgers Silicon Valley Acquisition Corp., a newly organized blank check company formed as a Delaware corporation, today announced the pricing of its initial public offering of 20 million units at an offering price of $10.00 per unit, with each unit consisting of one share of common stock and one-half of one redeemable warrant. Each whole warrant will entitle the holder thereof to purchase one share of common stock at $11.50 per share. The units are expected to	(M&A /Possible_Funding /IPOs)	Not Computed	('Rodgers Silicon Valley Acquisition Corp.', 'ORG')('Initial Public Offering', 'ORG')('$200 Million', 'MONEY')	-
12/03/2020, 16:50:48	12/03/2020, 21:13:42	BusinessJournal	Men's Wearhouse parent Tailored Brands emerges from bankruptcy as private co.	https://www.bizjournals.com/phoenix/news/2020/12/03/tailored-brands-emerges-from-bankruptcy.html?ana=brss_1028	Tailored Brands is now a private company, and it filed a Form 15 with the U.S. Securities and Exchange Commission deregistering its common stock on Dec. 1.	(Bankruptcy)	Not Computed	("Men's Wearhouse", 'ORG')('Tailored Brands', 'PERSON')	-
12/03/2020, 16:50:48	12/03/2020, 21:07:15	BusinessJournal	Journal Profile: The wisdom of bankruptcy law expert Steve Sather	https://www.bizjournals.com/austin/news/2020/12/03/journal-profile-bankruptcy-attorney-steve-sather.html?ana=brss_1028	Steve Sather is a go-to bankruptcy attorney in Austin. Find out what he learned from Elizabeth Warren — who before she was a presidential candidate was a leading bankruptcy scholar — and why one of his favorite cases involved a local church.	(Bankruptcy)	Not Computed	('Journal Profile', 'PERSON')('Steve Sather', 'PERSON')	-
12/03/2020, 16:50:48	12/03/2020, 20:30:00	BusinessJournal	The week in South Florida bankruptcies: Denials Recovery Group, Saona Holding LLC and 3 more	https://www.bizjournals.com/southflorida/news/2020/12/03/the-week-in-bankruptcies-teras-america-llc-teras-breakbuilk-shipping-llc-and-6-m.html?ana=brss_1028	For the year, South Florida courts have recorded 221 business bankruptcy filings.	(Bankruptcy)	Not Computed	('The week', 'DATE')('South Florida', 'LOC')('Denials Recovery Group', 'ORG')('Saona Holding LLC', 'ORG')('3', 'CARDINAL')	-
12/03/2020, 16:50:48	12/03/2020, 20:28:15	BusinessJournal	Gary Wunderlich kicks off initial public offering, again	https://www.bizjournals.com/memphis/news/2020/12/03/gary-wunderlich-space.html?ana=brss_1028	The special purpose acquisition company (SPAC) announced it had priced its initial public offering of 22 million units at $10.00 per unit.	(IPOs)	Not Computed	('Gary Wunderlich', 'PERSON')	-
12/03/2020, 16:50:48	12/03/2020, 20:00:47	BusinessJournal	Oil field services company files for bankruptcy as PPP runs dry	https://www.bizjournals.com/sanantonio/news/2020/12/03/ppp-recipient-files-for-bankruptcy.html?ana=brss_1028	PPP money got this oil company through a difficult spring and summer, but didn't go far enough to make it through the year.	(Bankruptcy)	Not Computed		-
12/03/2020, 16:50:48	12/03/2020, 19:54:13	BusinessJournal	Frac sand co. Hi-Crush names new top leadership after emerging from bankruptcy	https://www.bizjournals.com/houston/news/2020/12/03/frac-sand-hi-crush-makes-leadership-changes.html?ana=brss_1028	The leadership changes took effect Nov. 30, less than two months after the company emerged from bankruptcy.	(Bankruptcy)	Not Computed		-
